2019-09-16 18:04:28,935 INFO com.bank.AtmApplication [main] Starting AtmApplication on Bonggals-MacBook-Pro.local with PID 49337 (/Users/bonggalbaringinsiahaan/Documents/G2Academy/Proyek/Project/Program3/target/classes started by bonggalbaringinsiahaan in /Users/bonggalbaringinsiahaan/Documents/G2Academy/Proyek/Project/Program3)
2019-09-16 18:17:19,767 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,795 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,827 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,853 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,880 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,912 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,947 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,977 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:20,019 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:20,048 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:20,076 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:20,104 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:20,132 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:20,165 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:20,191 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:20,225 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,510 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,669 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,696 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,726 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,752 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,783 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,810 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,835 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,861 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,886 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,926 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:18:34,961 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
